user_id,hour_0_wt,hour_1_wt,hour_2_wt,hour_3_wt,hour_4_wt,hour_5_wt,hour_6_wt,hour_7_wt,hour_8_wt,hour_9_wt,hour_10_wt,hour_11_wt,hour_12_wt,hour_13_wt,hour_14_wt,hour_15_wt,hour_16_wt,hour_17_wt,hour_18_wt,hour_19_wt,hour_20_wt,hour_21_wt,hour_22_wt,hour_23_wt,session_all_per_day,pid_exposed_all_per_day,pid_watch_all_per_day,coverage_per_2weeks,category_count_unique,age,gender,month_chronological_order,preds_3_label_criteria_label,preds_soft_label,watch_all_per_day_min,midnight_wt_min,morning_wt_min,noon_wt_min,afternoon_wt_min,evening_wt_min,avg_daily_activity,night_activity_ratio,engagement_burstiness,category_count_unique_num,content_diversity_entropy,inactivity_streak_days
19,152.8571429,640.0,753.0769231,1068.764706,766.5833333,660.8461538,1216.866667,1662.692308,1854.769231,1603.333333,657.3333333,1755.333333,1160.0,841.4,1430.5,1196.142857,1113.444444,1582.8,1183.583333,854.9230769,1039.066667,816.6,168.8333333,216.5714286,11.14285714,1105.380952,668.7619048,7.0,437,19,1,8,2,1,194,67,145,33,88,71,11.14285714,0.1543956883463751,0.46517708560687737,437,8.7714894695006,7.0
102,99.8,0.0,0.0,0.0,0.0,0.0,3.0,30.0,263.0,15.25,5.142857143,149.4,32.5,3.555555556,3.666666667,279.5,0.0,494.0,96.75,14.0,2.25,33.0,6.25,7.714285714,4.166666667,107.1111111,9.388888889,9.0,202,57,0,9,0,0,4,1,7,0,12,2,4.166666667,0.07393151240242,1.850769583988272,202,7.658211482751795,5.0
19,845.5263158,860.3888889,1181.833333,1074.05,707.7777778,480.6875,683.625,850.9333333,1733.333333,1966.6,1537.75,1498.0,990.0,1519.333333,886.7894737,899.4375,1034.555556,757.6470588,1463.380952,1067.823529,783.8333333,582.7777778,808.9333333,493.2777778,14.71428571,1251.25,713.4642857,9.333333333,470,19,1,9,2,1,204,85,137,41,59,86,14.71428571,0.2416916019846713,0.37795399881043895,470,8.876516946565,4.666666666999999
102,0.0,0.0,0.0,0.0,0.0,0.0,356.75,206.5,250.8571429,1.125,193.2857143,64.77777778,155.0,17.75,90.6,168.1428571,0.666666667,18.5,0.0,152.5,442.125,158.625,135.6666667,0.0,5.8,150.8965517,13.84,9.666666667,231,57,0,10,0,0,12,0,17,2,4,14,5.8,0.056226221910841416,1.2101969806212913,231,7.851749041416057,4.333333333000001
19,861.0909091,616.875,580.3,530.68,562.173913,1361.541667,1121.619048,1122.294118,1130.0,1439.2,349.0,340.0,1116.2,1500.222222,1703.230769,1532.5625,1071.315789,1237.136364,1038.65,888.8571429,984.6,611.9411765,392.6666667,808.0833333,14.9,1114.233333,659.8333333,10.0,483,19,1,10,2,1,206,75,91,43,92,78,14.9,0.19003598672165622,0.4062925638527951,483,8.915879378835774,4.0
113,718.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.75,503.6666667,833.0,1003.307692,958.0,457.0,657.4,1236.75,647.25,479.5,621.3636364,565.4545455,1136.357143,950.6666667,382.625,129.3333333,7.636363636,175.1304348,102.7727273,7.666666667,245,68,0,1,2,1,77,11,45,23,50,63,7.636363636,0.10533537294350041,0.8119416855121514,245,7.936637939002571,6.333333333
26,1386.555556,1013.333333,778.75,618.5,286.25,465.25,460.0,458.8,317.6666667,387.0,564.2,610.8333333,823.5454545,1065.545455,667.8571429,732.9090909,357.1666667,763.4166667,609.75,961.2727273,594.3333333,1110.5,893.0769231,761.0,10.15384615,331.3461538,157.6538462,8.666666667,390,23,1,1,2,1,102,75,46,31,42,82,10.15384615,0.34381792156733837,0.3899212540375245,390,8.60733031374961,5.333333333000001
113,449.5555556,16.66666667,427.0,0.0,0.0,0.0,0.0,0.0,203.0,606.8571429,870.875,861.0,241.7142857,552.5555556,177.8,687.2,1038.833333,551.5,939.5,819.8666667,710.625,511.4545455,478.1428571,563.1428571,6.769230769,108.8333333,67.57692308,10.0,226,68,0,2,2,1,59,14,42,13,40,67,6.769230769,0.18067204988118954,0.7427205627079676,226,7.820178962415188,4.0
26,673.2727273,691.5833333,1221.0,944.0,1013.111111,377.0,471.1111111,1213.3,1273.083333,1433.545455,1051.076923,895.7692308,1381.166667,867.7142857,795.3846154,1293.923077,1198.333333,645.3571429,740.0,548.7142857,782.2307692,562.3571429,551.4444444,264.1111111,11.0,462.5,228.1,10.0,433,23,1,2,2,1,140,81,105,37,65,57,11.0,0.2565286934998947,0.37444741926843905,433,8.758223214726724,4.0
113,766.0,364.5,0.0,0.0,0.0,0.0,0.0,0.0,127.5,513.7,394.875,888.0,293.7142857,313.1111111,514.0,192.6666667,168.875,200.3333333,263.4,621.2,591.3571429,732.0666667,536.1111111,57.0,5.464285714,89.9,41.5,10.0,187,68,0,3,2,1,35,18,32,10,17,46,5.464285714,0.22864384379538655,0.8626986033426539,187,7.546894459887636,4.0
26,512.25,711.4,917.3333333,819.0,811.1666667,579.6,1028.4,878.5,1127.222222,1203.714286,406.6,979.7142857,843.0,460.1428571,526.0,1103.1,1022.2,1269.222222,1080.1875,899.5333333,841.625,1226.933333,467.4666667,705.6,11.03333333,378.6,175.7,10.0,407,23,1,3,2,1,123,72,93,21,65,87,11.03333333,0.24212723041773299,0.29894471808168693,407,8.668884984266247,4.0
113,180.1428571,317.0,0.0,0.0,0.0,0.0,0.0,0.0,442.3333333,500.25,330.5,98.4,83.66666667,28.6,0.0,325.0,592.0,80.625,162.0,478.1,605.3636364,723.1111111,1209.4,389.0,4.347826087,52.77777778,28.0,9.0,138,68,0,4,0,0,24,8,22,1,16,59,4.347826087,0.32015051940275857,1.0951891296496439,138,7.108524456778169,5.0
26,1121.0,1070.333333,743.5,953.8571429,697.625,838.2727273,716.5,1090.8,912.1111111,1002.666667,955.2857143,595.8571429,1304.2,716.7142857,679.8571429,1038.166667,977.875,1427.25,944.6,440.6666667,951.0,290.4444444,569.1428571,897.6,9.111111111,256.9655172,118.8888889,9.666666667,354,23,1,4,2,1,99,90,87,33,68,68,9.111111111,0.289131316190067,0.29162719980891066,354,8.467605550082997,4.333333333000001
